252.0,0.0,1.0,577,[0.0005122358709262116]
231.0,0.05187674273699522,1.0,510,[0.0005477457514062631]
189.0,0.05288628497123718,1.0,503,[0.0006030536869268818]
189.0,0.04895895878076553,1.0,535,[0.0006727457514062631]
294.0,0.05195329843461514,1.0,623,[0.00075]
273.0,0.06071919441223145,1.0,647,[0.0008272542485937369]
315.0,0.07268063229322433,1.0,711,[0.0008969463130731182]
294.0,0.06639818186759949,1.0,663,[0.0009522542485937369]
210.0,0.06777875998020172,1.0,647,[0.0009877641290737885]
189.0,0.04559034514427185,1.0,479,[0.0005]
168.0,0.036942568492889405,1.0,351,[0.0005122358709262116]
315.0,0.06089596076011658,0.9090909090909091,671,[0.0005477457514062631]
210.0,0.0547376166164875,0.8333333333333334,551,[0.0006030536869268818]
210.0,0.0445633798122406,0.7692307692307692,479,[0.0006727457514062631]
168.0,0.07369990052580834,0.7142857142857143,719,[0.00075]
273.0,0.07244714974462986,0.6666666666666666,742,[0.0008272542485937369]
294.0,0.06273829429447651,0.625,606,[0.0008969463130731182]
189.0,0.0604728176176548,0.5882352941176471,622,[0.0009522542485937369]
336.0,0.06537626703381538,0.5555555555555556,742,[0.0009877641290737885]
252.0,0.06916637490689755,0.5263157894736842,750,[0.0005]
294.0,0.05378488726615906,0.5,527,[0.0005122358709262116]
273.0,0.056085205245018005,0.47619047619047616,559,[0.0005477457514062631]
420.0,0.08182254166603088,0.45454545454545453,807,[0.0006030536869268818]
336.0,0.06912482600808144,0.4347826086956522,639,[0.0006727457514062631]
504.0,0.08972927233427763,0.4166666666666667,806,[0.00075]
231.0,0.05746170029640198,0.4,449,[0.0008272542485937369]
294.0,0.06927957404851913,0.3846153846153846,567,[0.0008969463130731182]
231.0,0.05633394936621189,0.37037037037037035,407,[0.0009522542485937369]
336.0,0.06792736749649048,0.35714285714285715,543,[0.0009877641290737885]
441.0,0.07882530698776245,0.3448275862068966,671,[0.0005]
462.0,0.08427521691918373,0.3333333333333333,611,[0.0005122358709262116]
483.0,0.09973307195156812,0.3225806451612903,711,[0.0005477457514062631]
252.0,0.06380024299621583,0.3125,417,[0.0006030536869268818]
399.0,0.09596276364326477,0.30303030303030304,679,[0.0006727457514062631]
336.0,0.06307501492500305,0.29411764705882354,487,[0.00075]
336.0,0.08601648015975952,0.2857142857142857,639,[0.0008272542485937369]
399.0,0.09076100940704346,0.2777777777777778,647,[0.0008969463130731182]
378.0,0.08046953029632568,0.27027027027027023,551,[0.0009522542485937369]
189.0,0.0530610746383667,0.2631578947368421,374,[0.0009877641290737885]
420.0,0.07549805221557618,0.25641025641025644,592,[0.0005]
252.0,0.06496771133244038,0.25,449,[0.0005122358709262116]
336.0,0.07662806704193353,0.24390243902439027,583,[0.0005477457514062631]
420.0,0.07213704109340906,0.23809523809523808,598,[0.0006030536869268818]
357.0,0.07389400626122951,0.23255813953488372,535,[0.0006727457514062631]
399.0,0.07392871389389039,0.22727272727272727,502,[0.00075]
336.0,0.07727719974517823,0.2222222222222222,503,[0.0008272542485937369]
420.0,0.07401464748382568,0.2173913043478261,550,[0.0008969463130731182]
273.0,0.07341478317677974,0.2127659574468085,503,[0.0009522542485937369]
420.0,0.0836333535194397,0.20833333333333334,614,[0.0009877641290737885]
441.0,0.08721245555877685,0.2040816326530612,647,[0.0005]
