episode,total_reward,loss,epsilon
1,168.0,0.3645997643470764,0.995
2,126.0,0.24579516053199768,0.990025
3,231.0,0.3134462833404541,0.985074875
4,189.0,0.12519323825836182,0.9801495006250001
5,231.0,0.058918535709381104,0.9752487531218751
6,210.0,27.071517944335938,0.9703725093562657
7,189.0,0.06878922879695892,0.9655206468094844
8,189.0,0.08620074391365051,0.960693043575437
9,210.0,27.676109313964844,0.9558895783575597
10,336.0,13.596457481384277,0.9511101304657719
11,189.0,0.34848394989967346,0.946354579813443
12,336.0,14.054786682128906,0.9416228069143757
13,273.0,26.286041259765625,0.9369146928798039
14,336.0,0.09418866038322449,0.9322301194154049
15,210.0,13.653511047363281,0.9275689688183278
16,273.0,0.2729385197162628,0.9229311239742362
17,189.0,13.75687026977539,0.918316468354365
18,273.0,0.20527108013629913,0.9137248860125932
