episode,total_reward,loss,epsilon
1,336.0,13.03825569152832,0.995
2,399.0,26.654136657714844,0.990025
3,168.0,13.58687686920166,0.985074875
4,168.0,0.49047553539276123,0.9801495006250001
5,231.0,0.1776917427778244,0.9752487531218751
6,252.0,0.09966447949409485,0.9703725093562657
7,315.0,13.598337173461914,0.9655206468094844
8,294.0,0.16598953306674957,0.960693043575437
9,252.0,13.629411697387695,0.9558895783575597
10,252.0,13.489364624023438,0.9511101304657719
11,273.0,0.14161866903305054,0.946354579813443
12,189.0,0.07263277471065521,0.9416228069143757
13,399.0,26.23430061340332,0.9369146928798039
14,252.0,0.20695409178733826,0.9322301194154049
15,294.0,26.811656951904297,0.9275689688183278
16,84.0,13.507542610168457,0.9229311239742362
17,168.0,0.495977520942688,0.918316468354365
18,189.0,0.4208047389984131,0.9137248860125932
19,294.0,0.17710059881210327,0.9091562615825302
20,273.0,13.225998878479004,0.9046104802746175
21,231.0,2.65630841255188,0.9000874278732445
22,294.0,0.050160136073827744,0.8955869907338783
23,420.0,0.4840802550315857,0.8911090557802088
24,126.0,26.441545486450195,0.8866535105013078
25,147.0,0.29153531789779663,0.8822202429488013
26,315.0,0.22416797280311584,0.8778091417340573
27,315.0,0.41246670484542847,0.8734200960253871
28,210.0,40.682743072509766,0.8690529955452602
29,252.0,13.918392181396484,0.8647077305675338
30,273.0,0.1738075315952301,0.8603841919146962
31,315.0,13.550885200500488,0.8560822709551227
32,273.0,13.672871589660645,0.851801859600347
33,294.0,0.45310115814208984,0.8475428503023453
34,210.0,0.03277050703763962,0.8433051360508336
35,168.0,13.11910343170166,0.8390886103705794
36,168.0,0.09230797737836838,0.8348931673187264
37,189.0,19.98872947692871,0.8307187014821328
38,147.0,0.5264697074890137,0.8265651079747222
39,147.0,26.966306686401367,0.8224322824348486
