episode,total_reward,loss,epsilon
1,189.0,0.15572336316108704,0.995
2,189.0,0.04043493792414665,0.990025
3,231.0,0.001210193382576108,0.985074875
4,315.0,0.12039055675268173,0.9801495006250001
5,273.0,0.02118428610265255,0.9752487531218751
6,273.0,0.11016275733709335,0.9703725093562657
7,336.0,0.00042995117837563157,0.9655206468094844
8,210.0,0.007618137635290623,0.960693043575437
9,168.0,0.1629193127155304,0.9558895783575597
10,189.0,0.19899244606494904,0.9511101304657719
11,315.0,0.19915221631526947,0.946354579813443
12,147.0,0.04468231275677681,0.9416228069143757
13,315.0,0.3157339096069336,0.9369146928798039
14,105.0,1.0859782695770264,0.9322301194154049
15,189.0,0.006382375955581665,0.9275689688183278
16,336.0,0.10029676556587219,0.9229311239742362
17,168.0,0.5238639116287231,0.918316468354365
18,273.0,0.014963624998927116,0.9137248860125932
19,168.0,0.02292112074792385,0.9091562615825302
20,273.0,0.00011069007450714707,0.9046104802746175
21,336.0,0.07448409497737885,0.9000874278732445
22,147.0,0.10787389427423477,0.8955869907338783
23,189.0,0.009405693970620632,0.8911090557802088
24,189.0,0.08650535345077515,0.8866535105013078
25,189.0,0.0031306343153119087,0.8822202429488013
26,357.0,0.5966737866401672,0.8778091417340573
27,315.0,2.1412601470947266,0.8734200960253871
28,189.0,0.019035186618566513,0.8690529955452602
29,147.0,0.0007392555708065629,0.8647077305675338
30,357.0,0.026010826230049133,0.8603841919146962
31,189.0,0.1754256933927536,0.8560822709551227
32,168.0,0.032355837523937225,0.851801859600347
33,294.0,0.2702140510082245,0.8475428503023453
34,126.0,1.8045903444290161,0.8433051360508336
35,273.0,0.4969334602355957,0.8390886103705794
36,399.0,0.03539770469069481,0.8348931673187264
37,126.0,3.37459659576416,0.8307187014821328
38,126.0,1.4979355335235596,0.8265651079747222
39,189.0,0.028017772361636162,0.8224322824348486
40,231.0,0.000519860303029418,0.8183201210226743
41,189.0,1.396738886833191,0.8142285204175609
42,231.0,0.4398651123046875,0.810157377815473
43,189.0,1.2649942636489868,0.8061065909263957
44,357.0,0.1749403178691864,0.8020760579717637
45,315.0,0.19021648168563843,0.798065677681905
46,357.0,0.016630593687295914,0.7940753492934954
47,189.0,12.017041206359863,0.7901049725470279
48,189.0,0.018775032833218575,0.7861544476842928
49,315.0,0.01245262660086155,0.7822236754458713
50,105.0,0.0036148284561932087,0.778312557068642
51,168.0,11.87325382232666,0.7744209942832988
52,273.0,0.10264898091554642,0.7705488893118823
53,210.0,0.01937722973525524,0.7666961448653229
54,168.0,0.004872492048889399,0.7628626641409962
55,189.0,0.05084685608744621,0.7590483508202912
56,315.0,0.0002684395294636488,0.7552531090661897
57,105.0,0.02898504212498665,0.7514768435208588
58,252.0,0.01755010336637497,0.7477194593032545
59,252.0,5.372048854827881,0.7439808620067382
60,315.0,0.05879344791173935,0.7402609576967045
61,378.0,0.0006766460137441754,0.736559652908221
62,189.0,6.108766555786133,0.7328768546436799
63,252.0,0.111016184091568,0.7292124703704616
64,336.0,1.4578546285629272,0.7255664080186093
65,189.0,0.8661497831344604,0.7219385759785162
66,189.0,8.870790770743042e-05,0.7183288830986236
67,168.0,0.0008882920956239104,0.7147372386831305
68,189.0,0.0038190046325325966,0.7111635524897149
69,231.0,0.003699722932651639,0.7076077347272662
70,252.0,0.062562957406044,0.7040696960536299
71,189.0,0.3861650824546814,0.7005493475733617
72,315.0,2.8356056213378906,0.697046600835495
73,189.0,0.08194185793399811,0.6935613678313175
74,210.0,0.014000635594129562,0.6900935609921609
75,294.0,0.8086849451065063,0.6866430931872001
76,147.0,0.16303981840610504,0.6832098777212641
77,231.0,0.10313598811626434,0.6797938283326578
78,273.0,0.2369493544101715,0.6763948591909945
79,252.0,7.703470706939697,0.6730128848950395
80,252.0,25.322805404663086,0.6696478204705644
81,189.0,0.00310146133415401,0.6662995813682115
82,189.0,26.76664161682129,0.6629680834613705
83,189.0,7.95297908782959,0.6596532430440636
84,168.0,3.1590864658355713,0.6563549768288433
85,126.0,3.542282819747925,0.653073201944699
86,357.0,0.13916397094726562,0.6498078359349755
87,189.0,0.0014610181096941233,0.6465587967553006
88,189.0,6.602058419957757e-07,0.6433260027715241
89,210.0,0.0033109544310718775,0.6401093727576664
90,252.0,0.6639865040779114,0.6369088258938781
91,210.0,0.2304544895887375,0.6337242817644086
92,231.0,8.372062683105469,0.6305556603555866
93,357.0,0.08872009813785553,0.6274028820538087
94,189.0,0.06025835499167442,0.6242658676435396
95,252.0,0.8950875997543335,0.6211445383053219
96,252.0,0.0022044240031391382,0.6180388156137953
97,294.0,0.0014703648630529642,0.6149486215357263
98,294.0,0.004571340978145599,0.6118738784280476
99,399.0,0.4534687399864197,0.6088145090359074
100,252.0,0.006246198900043964,0.6057704364907278
101,147.0,0.5575783848762512,0.6027415843082742
102,378.0,0.09443598240613937,0.5997278763867329
103,399.0,0.18902380764484406,0.5967292370047992
104,231.0,0.5607732534408569,0.5937455908197752
105,273.0,6.718400001525879,0.5907768628656763
106,399.0,0.4502173364162445,0.5878229785513479
107,126.0,0.1290900707244873,0.5848838636585911
108,231.0,8.066749572753906,0.5819594443402982
109,252.0,24.211261749267578,0.5790496471185967
110,189.0,0.0024125820491462946,0.5761543988830038
111,189.0,8.96445126272738e-05,0.5732736268885887
112,357.0,4.1055145263671875,0.5704072587541458
113,462.0,0.0045342762023210526,0.567555222460375
114,462.0,0.23348967730998993,0.5647174463480732
115,210.0,19.640588760375977,0.5618938591163328
116,126.0,0.00013536919141188264,0.5590843898207511
117,147.0,0.5636793375015259,0.5562889678716474
118,252.0,0.0274498388171196,0.5535075230322891
119,168.0,8.681203842163086,0.5507399854171277
120,189.0,0.3828345537185669,0.547986285490042
121,399.0,0.2792513370513916,0.5452463540625918
122,189.0,0.19549335539340973,0.5425201222922789
123,231.0,0.005761545617133379,0.5398075216808175
